GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
final-is,blockudoku,Pieza,0,79,1,7,0,19,1,8,0,5
final-is,blockudoku,Blockudoku,80,339,22,45,23,83,18,34,2,13
final-is,blockudoku,Piezas,0,460,0,0,0,38,0,8,0,8
